artifactNumber|ObjectName|GeneralDescription|model|SerialNumber|Manufacturer|ManuCountry|ManuProvince|ManuCity|BeginDate|EndDate|date_qualifier|patent|NumberOfComponents|ArtifactFinish|ContextCanada|ContextFunction|ContextTechnical|group1|category1|subcategory1|group2|category2|subcategory2|group3|category3|subcategory3|material|Length|Width|Height|Thickness|Weight|Diameter|image|thumbnail
1966.0001.001|Cover|PAPER|WESTERN CANADA AIRWAYS LTD.||Unknown|Unknown|||1927||||1||AT THE TIME IT WAS THE WORLD'S MOST NORTHERNLY AIR SERVICE|||Aviation|Commemorative|Stamps & coins|||||||paper|4.5 cm|2.6 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0001.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0001.001.aa.cs.thumb.png
1966.0002.001|Stamp, postage|PAPER|WESTERN CANADA AIRWAYS LTD.||Unknown|Unknown|||1927||||1|PINK & BLACK ON WHITE||||Aviation|Commemorative|Stamps & coins|||||||paper|3.8 cm|2.7 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0002.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0002.001.aa.cs.thumb.png
1966.0003.001|Stamp, postage|PAPER|||Unknown|Unknown|||1932||||1|DARK & PALE BLUE ON WHITE||||Aviation|Commemorative|Stamps & coins|||||||paper|12.8 cm|8.4 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0003.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0003.001.aa.cs.thumb.png
1966.0004.001|Stamp, postage|PAPER|ELLIOT, JACK V. AIR SERVICE||Unknown|Unknown|||1926||||1|RED ON YELLOW WITH SHADED ZIG-ZAG LINE BACKGROUND||||Aviation|Commemorative|Stamps & coins|||||||paper|22.4 cm|9.0 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0004.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0004.001.aa.cs.thumb.png
1966.0005.001|Stamp, postage|PAPER|ELLIOT-FAIRCHILD AIR SERVICE||Unknown|Unknown|||1926||||1|RED ON YELLOW WITH SWASTIKA BACKGROUND||||Aviation|Commemorative|Stamps & coins|||||||paper|22.7 cm|9.5 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0005.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0005.001.aa.cs.thumb.png
1966.0006.001|Clock|WOOD (PINE) CASE & PENDULUM/ BRASS MECHANISM||35|REGULA||||1945||after||1|CASE PAINTED MEDIUM BROWN/ DARK BROWN DIAL/ DARK BROWN WEIGHTS CAST IN ACORN SHAPE/ RED, YELLOW, GREEN, & BROWN PAINTED MOULDINGS & PENDULUM/ WHITE HAND & NUMERALS ON DIAL||||Horology|Clocks|Domestic|||||||wood->pine;metal->brass|||||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0006.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0006.001.aa.cs.thumb.png
1966.0007.001|Thermometer|METAL CASING/ PAPER? FACE/ GLASS OR SYNTHETIC FRONT.|||Unknown|Unknown|||1930||circa||1|COPPER COLOURED CASING/ BLACK INDICATOR NEEDLE||AN INSTRUMENT THAT MEASURES ATMOSPHERIC TEMPERATURE THROUGH THE DEFORMATION OF A BIMETALLIC SENSOR, DISPLAYING THE READINGS ON A DIAL INDICATOR.||Meteorology|Atmospheric temperature measurement|Indicators|||||||metal;paper;glass;synthetic||23.2 cm|3.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0007.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0007.001.aa.cs.thumb.png
1966.0008.001|Relay|GLASS, METAL, SYNTHETIC/ CARDBOARD BOX|501||Edison, Thomas A. Industries|United States of America|New jersey|West orange|1950|1960|circa||1|||USED IN AN ELECTRIC CIRCUIT TO MAKE OR BREAK ONE OR MORE CONNECTIONS IN THE SAME OR ANOTHER CIRCUIT||Energy-electric|Electricity & electronics|Electronics-vacuum|||||||glass;metal;synthetic;paper|9.4 cm|3.2 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0008.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0008.001.aa.cs.thumb.png
1966.0009.001|Propeller|Wooden propeller with metal sheathing attached to leading edges|JUPITER XI|12428B|Unknown|Unknown|||1929||||1|METAL LEADING EDGE/ PAINTED BLACK/ SCRATCHED & DIRTY/ HUB HAS HOLES||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;metal|340.0 cm|30.0 cm|15.0 cm||18.5 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.thumb.png
1966.0010.001|Propeller/DE||PARAGON||American Propellers Mfg. Co.|United States of America|Maryland|Baltimore|||||1|||||Aviation|Deaccessioned|||||||||292.0 cm|30.0 cm|90.0 cm|||||
1966.0011.001|Propeller|WOOD; FIBRE|MERLIN II|H1454|Unknown|Unknown|||1939||||1|PAINTED YELLOW & SILVER|THE BCATP TRAINED COMMONWEALTH AND ALLIED AIR CREW AND WAS A SIGNIFICANT CANADIAN AND IN PARTICULAR RCAF CONTRIBUTION TO THE WAR EFFORT|LIST & COMMEMORATE AERO ENGINE MECHANICS TRAINED IN WINNIPEG AS PART OF BRITISH COMMONWEALTH AIR TRAINING PLAN (BCATP)||Aviation|Aircraft parts||||||||wood;fibre||31.0 cm|26.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0011.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0011.001.aa.cs.thumb.png
1966.0012.001|Propeller|WOOD||82941|Unknown|Unknown|||||||1|PAINTED BLACK, YELLOW TIPS||Aircraft propulsion||Aviation|Aircraft parts||||||||wood|||||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0012.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0012.001.aa.cs.thumb.png
1966.0013.001|Propeller/DE|WOOD; FIBRE; METAL|HAMILTON|N10582|Matthews Bros. Mfg. Co.|United States of America|Wisconsin|Milwaukee|||||1|||||Aviation|Deaccessioned||||||||wood;fibre;metal|250.0 cm|||||||
1966.0014.001|Propeller/DE|WOOD; FIBRE; METAL|HAMILTON|N10568|Matthews Bros. Mfg. Co.|United States of America|Wisconsin|Milwaukee|||||1|||||Aviation|Deaccessioned||||||||wood;fibre;metal|254.0 cm|23.0 cm|10.0 cm|||||
1966.0015.001|Propeller/DE|WOOD; FIBRE|REGIBOO P22||Unknown|Unknown|||||||1|||||Aviation|Deaccessioned||||||||wood;fibre|178.0 cm|19.0 cm|10.0 cm|||||
1966.0016.001|Propeller|WOOD/ METAL LEADING EDGE & TIPS/ METAL HUB ASSEMBLY||13767|Flottorp|United States of America|Michigan|Grand rapids|||||1|Semi-gloss finish||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;metal|190.0 cm|15.0 cm|11.0 cm||6.7 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.thumb.png
1966.0017.001|Propeller|WOOD/ METAL PLATE OVER HUB||11993/3316|Unknown|Unknown|||||||1|Reddish varnish/ Hub has bolts & metal cover plate||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;metal|244.0 cm|25.0 cm|9.5 cm||10.8 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.thumb.png
1966.0018.001|Propeller|WOODEN PROPELLER WITH METAL TRAILING EGDES AND TIPS/ BRASS MFR'S PLATE||457|Requa Gibson Propeller|United States of America|||1910||circa|pending|1|BLADES ARE COVERED WITH TIN AT THE ENDS/ TIN SHOWS SIGNS OF BLUE PAINT|The Requa Gibson, the first U.S. propeller production facility, was founded in 1909 and was headed by Canadian engineer Wallace R. Turnbull.|Aircraft propulsion||Aviation|Aircraft parts||||||||wood->ash;metal->brass;metal->tin|214.0 cm|22.0 cm|10.8 cm||6.5 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.thumb.png
1966.0019.001|Propeller/DE|WOOD; METAL||SC5273|Unknown|Unknown|||||||1|||||Aviation|Deaccessioned||||||||wood;metal|244.0 cm|23.0 cm|10.5 cm|||||
1966.0020.001|Propeller|WOOD/ METAL||G1710|S & S Aircraft Co.|Canada|Manitoba|Winnipeg|1942||||1|HAS METAL LEADING EDGE & HUB BOLTS||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;metal|230.0 cm|25.0 cm|20.0 cm||23.0 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.thumb.png
1966.0022.001|Propeller|WOOD||1392|Jacuzzi Bros. Inc.|United States of America|California|Berkeley|||||1|Varnished||Aircraft propulsion||Aviation|Aircraft parts||||||||wood|242.0 cm|21.0 cm|9.8 cm||7.7 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.thumb.png
1966.0023.001|Propeller/DE|||B300|||||1932||||1|||||Aviation|Deaccessioned|||||||||290.0 cm|29.0 cm|19.0 cm|||||
1966.0024.001|Propeller|WOOD/ METAL HUB ASSEMBLY|PARAGON|1185 4616|American Propeller & Mfg. Co.|United States of America|Maryland|Baltimore||||TRADEMARK; PARAGON|1|SEVERAL LAYERS OF VARNISH||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;metal|252.0 cm|22.5 cm|10.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.thumb.png
1966.0025.001|Propeller/DE|||923|S & S Aircraft Ltd.|Canada|Manitoba|Winnipeg|||||1|||||Aviation|Deaccessioned|||||||||216.0 cm|16.5 cm|10.5 cm|||||
1966.0026.001|Propeller/DE|||13546|Luckenwalde Niendorf Propellerwerke|Germany|||||||1|||||Aviation|Deaccessioned|||||||||274.0 cm|22.0 cm|14.0 cm|||||
1966.0027.001|Propeller/DE||PARAGON HS-1||||||||||1|||||Aviation|Deaccessioned|||||||||264.0 cm|24.0 cm|13.0 cm|||||
1966.0028.001|Propeller|WOOD/ METAL/ FIBRE|WOLSELEY VIPER|C414N26/AB7673|Unknown|Unknown|||||||1|Reddish varnish with grey painted blades/ HAS METAL TIPS/ MINOR CHIPS||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;metal;fibre|243.0 cm|20.0 cm|15.0 cm||9.25 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.thumb.png
1966.0029.001|Compass, solar|BRASS CONSTRUCTION; STERLING SILVER ARCS AND GRADUATIONS OF LIMB; GLASS TUBE LEVEL VIALS. WOODEN CASE FITTED WITH BRASS HINGES.|||Gurley, W. & L.E.|United States of America|New york|Troy|1891|1910|circa|SOLAR COMPASS INVENTED BY WILLIAM AUSTIN BURT, MICHIGAN, OHIO USA AND PATENTED 1836. (REF.3)|1|||USED BY SURVEYORS TO DETERMINE THE MERIDIAN (NORTH- SOUTH LINE) BY USING THE SUN'S POSITION AS A REFERENCE.|TRANSIT INST. INVENTED BY WILLIAM AUSTIN BURT OF MICHIGAN, OHIO, AND PAT'D 1836. THE FIRST INSTS. WERE MFD. BY W.J. YOUNG & SONS, PHILADELPHIA; GURLEY BEGAN MFG THEIR'S C. 1860. SOLAR COMPASS PLAYED A MAJOR ROLE IN PUBLIC LAND SURVEYS IN U.S. FOR 100 YRS. +, AS PRINCIPAL LINES WERE RUN WITH REFERENCE TO TRUE MERIDIAN.|Exploration and Survey|Measurement-angles|Horizontal|||||||metal->brass;metal->silver;glass;wood|23.0 cm|19.5 cm|10.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.thumb.png
1966.0030.001|Player, cylinder/DE||D|770608|Edison, Thomas A. Co.|United States of America|New york|Orange|||||2|||||Communications|Deaccessioned|||||||||40.0 cm|24.0 cm|30.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0030.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0030.001.aa.cs.thumb.png
1966.0030.002|Speaker/DE||||||||||||2|||||Communications|Deaccessioned|||||||||||79.0 cm|||48.0 cm|http://source.techno-science.ca/artifacts-artefacts/images/1966.0030.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0030.002.aa.cs.thumb.png
1966.0031.001|Engine, automobile|CAST IRON/ STEEL/ ASSORTED METALS|OLDSMOBILE ROCKET|567771 ?|General Motors of Canada Ltd.|Canada|Ontario|Oshawa|1948||after||1|PAINTED RED||||Motorized Ground Transportation|Automotive engineering||||||||metal->cast-iron;metal->steel|90.0 cm|97.0 cm|76.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.thumb.png
1966.0032.001|Amplifier, microwave|METAL/ SYNTHETIC POWER CORDS & KNOBS/ WOOD CASE WITH FELT LINING|WM111CBN|6 TW|International Telephone & Telegraph|England|||||||1|PAINTED BLACK ENAMEL/ METALLIC PARTS/ BLACK KNOBS/ BLACK & BLUE SYNTHETIC/ UNFINISHED WOOD WITH GREEN FELT||AMPLIFIES MICROWAVE SIGNALS||Communications|Radar||||||||metal->;synthetic->;wood->;fibre->felt|44.2 cm|14.0 cm|16.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.thumb.png
1966.0033.001|Clock|BRASS CASING/ METAL HANDS, WORKS, FACE (?)/ GLASS CRYSTAL|ASTRAL||SMITHS CLOCKS & WATCHES LTD.|England||London|||||1|BRUSHED AND POLISHED AREAS ON BRASS CASING/ BLACK MARKINGS, MINUTE AND HOUR HANDS; RED SECOND HAND SET AGAINST WHITE FACE/ FLACK ENAMEL-PAINTED(?) BACK||||Horology|Clocks|Marine|Marine Transportation|Miscellaneous|||||metal->brass;glass||26.7 cm|10.3 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0033.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0033.001.aa.cs.thumb.png
1966.0034.001|Clock works|METAL (TIN?) CLOCK FACE AND HANDS/ METAL WORKS|||SELF WINDING CLOCK CO.|United States of America|New york|New york|||||1|BLACK ROMAN NUMERALS AGAINST WHITE CLOCK FACE||||Horology|Clocks|Clock parts|||||||metal->tin|31.4 cm|13.2 cm|44.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.thumb.png
1966.0035.001|Watch, pocket|METAL BODY/ ENAMEL OR PORCELAIN FACE/ GLASS CRYSTAL|FORTUNE|8820573|American Waltham Watch Co.|United States of America|||1898||||1|GOLD PLATED/ SOME BLUEING OF WORKS/ BLACK ROMAN AND ARABIC NUMERALS SET AGAINST WHITE FACE||||Horology|Watches|Pocket|||||||metal;glass;ceramic|7.5 cm|5.5 cm|1.2 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.thumb.png
1966.0036.001|Watch, pocket|STEEL CASING/ PORCELAIN FACE||4790|FIGARO ?|Switzerland|||||||1|BLACK WATCH BODY WITH BRASS-LIKE PIPING AROUND BEZEL/ BLACK ARABIC NUMERALS SET AGAINST WHITE FACE||||Horology|Watches|Pocket|||||||metal->steel;ceramic->porcelain|5.8 cm|4.1 cm|1.1 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.thumb.png
1966.0037.001|Headlamp|SHEET AND CAST METAL (IRON?)/ GLASS LENS||1464-G|PYLE-NATIONAL CO.|United States of America|Illinois|Chicago|1900|1950|between||1|PAINTED BLACK|||ELECTRIC HEADLAMPS WERE INSTALLED IN LOCOMOTIVES AFTER 1895/ PREVIOUSLY LAMPS WERE FUELED BY ACETYLENE; KEROSENE OR BY A CARBON ARC.|Railway Transportation|Motive power|Parts & accessories|Lighting Technology|Lighting devices|Electric||||metal->iron;glass|47.0 cm|38.0 cm|43.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.thumb.png
1966.0038.001|Board, order|CAST IRON BODY AND MOUNT/ GLASS LENSES/ WOODEN ARM ATTACHMENT|||PIPER, HIRAM L. CO.|Canada|Québec|Montréal|1919||after|'PATENTED FEBRUARY, 1915' CAST INTO BASE, BELOW MFR'S INFO|1|BLACK METAL BODY/ ONE EACH RED AND GREEN LENS/ WOOD BASE PAINTED RED WITH WHITE STRIPES||SIGNALED TRAIN ENGINEER TO STOP AT STATION AND PICK UP THE DISPATCHER'S ORDERS||Railway Transportation|Operations|Track equipment|||||||metal->cast-iron;glass;wood|53.0 cm|51.0 cm|12.3 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.thumb.png
1966.0039.001|Drill, track|CAST METAL (IRON?) WORKS/ WOODEN HANDLES|||Unknown|Unknown|||1900|1930|circa||1|BADLY CORRODED||USED TO SPLICE BARS ON RAILWAY TRACK RAILS/ DRILLS HOLES FOR RAIL JOINERS||Railway Transportation|Operations|Track equipment|||||||metal;wood|123.5 cm|73.5 cm|91.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0039.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0039.001.aa.cs.thumb.png
1966.0040.001|Bell, locomotive|METAL (POSSIBLY BRASS)|||Unknown|Unknown|||||||1|SMOOTH FINISH/ THREADED POST||||Railway Transportation|Motive power|Parts & accessories|||||||metal||43.0 cm|41.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0040.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0040.001.aa.cs.thumb.png
1966.0041.001|Painting/DE||||||||||||1|||||Aviation|Deaccessioned|||||||||105.0 cm|84.7 cm|6.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0041.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0041.001.aa.cs.thumb.png
1966.0042.001|Valve, inner tube|BRASS/ FERROUS METAL|VS74 TR16||Dill Canada|Canada|||||||1|NICKEL PLATED|MADE IN CANADA|VALVE FOR INNER TUBE USED ON EARLY CARS WITH WIRE WHEELS|EXAMPLE OF COMPLETE EARLY VALVE INCLUDING STEM, BRIDGE WASHER, LOCKNUT, RIM WASHER & DUST COVER.|Motorized Ground Transportation|Automotive parts|Rims, wheels & tires|||||||metal->brass|7.6 cm|4.5 cm|2.2 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.thumb.png
1966.0043.001|Therapy machine, cobalt|METAL, SYNTHETIC & WOOD COMPONENTS.|THERATRON JUNIOR/C|15|Atomic Energy of Canada Ltd.|Canada|Ontario|Ottawa|1957|||"CANADIAN & US PATENTS PENDING" PRINTED ON MFR'S PLATE.|2|PAINTED MEDIUM GREEN ENAMEL; PLATED PARTS; BLACK SYNTHETIC CABLES.|THIS COBALT THERAPY MACHINE WAS MFD BY AECL, A WORLD LEADER IN APPLYING NUCLEAR TECHNOLOGY FOR MEDICAL PURPOSES. AECL IS ALSO A MAJOR SUPPLIER OF RADIOACTIVE SOURCE MATERIAL (RADIOISOTOPES) FOR THERAPY.|TO DELIVER COBALT-60 (RADIOACTIVE ISOTOPE OF COBALT) RADIATION, USED IN TREATMENT OF MALIGNANT TUMOURS.|COBALT BEAM THERAPY INVOLVES THE USE OF GAMMA RADIATION FROM A COBALT-60SOURCE MOUNTED IN A COBALT BOMB. THIS BOMB CONSISTS OF A QUANTITY OF COBALT-60 MOUNTED IN A LEAD WALLED HOUSING WITH A LEAD PLUG WHICH CAN BE REMOVED TO RELEASE A BEAM OF GAMMA RAYS. THESE RAYS ARE DIRECTED AT MALIGNANT TUMOUR SITES. THE "JUNIOR" MODEL WAS PRODUCED UNTIL 1961 & WAS VERY POPULAR: 137 UNITS WERE MFD. (S.I. NOTES)|Medical Technology|Radiology|Radiation equipment|||||||metal;synthetic;wood|262.0 cm|117.0 cm|178.0 cm||2404.1 (approx.) kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.thumb.png
1966.0043.002|Control unit|METAL, SYNTHETIC & WOOD COMPONENTS.|THERATRON JUNIOR/C||Atomic Energy of Canada Ltd.|Canada|Ontario|Ottawa|||||2|VARNISHED (?) WOOD; FRONT PANEL PAINTED MEDIUM GREY ENAMEL; METALLIC PARTS; BLACK SYNTHETIC CONTROLS.||||Medical Technology|Radiology|Radiation equipment|||||||metal;synthetic;wood|44.0 cm|24.5 cm|29.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.thumb.png
1966.0044.001|Propeller/DE|WOOD|GNOME 150 HP ENGINE (FOR)|N19105 ?|Unknown|Unknown|||||||1|||||Aviation|Deaccessioned||||||||wood|247.2 cm|19.5 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0044.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0044.001.aa.cs.thumb.png
1966.0045.001|Tedder, hay/DE|CAST IRON/ STEEL/ WOOD|||INTERNATIONAL HARVESTER CO.|United States of America|Ohio|Ashburn|1903||after|PAT'D JULY 14, 1903|1|PAINTED BLUE (OVER REDDISH PAINT)/ CROSS MEMBER PAINTED RED/ PAINT IN CRACKED & CHIPPED, 1 TINE IF BROKEN, WOOD IS CRACKED & WORN||TO LIFT HAY OFF THE GROUND FOR DRYING - THE TEDDER PASSES OVER THE FIELD AFTER THE MOWER TURNING & LOOSENING THE SWATH SO THAT AIR MAY HAVE FREE ACCESS & THUS AID IN THE CURING.||Agriculture|Deaccessioned||||||||metal->cast-iron;metal->steel;wood|180.0 cm|180.0 cm|143.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0045.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0045.001.aa.cs.thumb.png
1966.0046.001|Camera|CAST STEEL BODY/ GLASS LENS ELEMENTS & FILM PLATES/ WOOD HANDLES/ SYNTHETIC|||A M MEASUREMENTS LTD.||||||||3|GREY ENAMEL BODY/ PLATED PARTS/ BLACK ENAMEL HANDLES||USED IN AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|||||||metal->steel;glass;wood;synthetic|38.0 cm|30.5 cm|34.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0046.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0046.001.aa.cs.thumb.png
1966.0046.002|Camera body|CAST STEEL BODY/ GLASS LENS ELEMENTS & FILM PLATES/ WOOD HANDLES/ SYNTHETIC||015348-LENS|A M MEASUREMENTS LTD.||||||||3|GREY ENAMEL AND BLACK ENAMEL PAINT||||Photography|Still cameras|Specialized|||||||metal->steel;glass;wood;synthetic|22.5 cm|15.0 cm|19.4 cm|||||
1966.0046.003|Camera body|CAST STEEL BODY/ GLASS LENS ELEMENTS & FILM PLATES/ WOOD HANDLES/ SYNTHETIC|||A M MEASUREMENTS LTD.||||||||3|GREY ENAMEL AND BLACK ENAMEL PAINT||||Photography|Still cameras|Specialized|||||||metal->steel;glass;wood;synthetic|22.5 cm|15.0 cm|19.4 cm|||||
1966.0047.001|Camera|CAST STEEL BODY/ WOOD HANDLES|||Unknown|Unknown|||||||1|BLACK WRINKLE FINISH/ METALLIC PARTS/ BLACK ENAMEL PARTS/ VARNISHED? WOOD||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|||||||metal->steel;wood|39.0 cm|39.0 cm|28.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0047.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0047.001.aa.cs.thumb.png
