artifactNumber|ObjectName|GeneralDescription|model|SerialNumber|Manufacturer|ManuCountry|ManuProvince|ManuCity|BeginDate|EndDate|date_qualifier|patent|NumberOfComponents|ArtifactFinish|ContextCanada|ContextFunction|ContextTechnical|group1|category1|subcategory1|group2|category2|subcategory2|group3|category3|subcategory3|material|Length|Width|Height|Thickness|Weight|Diameter|image|thumbnail
1966.0048.001|Camera|Cast steel body/ Glass lens element/ Synthetic/ Leather box? with plush lining.|K17C|AC-44-190835|Folmer Graflex Corp.|United States of America|New york|Rochester|1926|1943|between|Lens cone: US Patent Nos. 1,517,550; 1,568,969; 1,612,860; 1,619,108; 1,622,125; 1,626,032; 1,661,364; 1,707,849; 1,723,926; 1,735,109; 1,775,731; 1,778,027; 1,779,424; 1,782,864; 1,804,680; 1,817,182; 1,821,492; 1,835,457; 1,863,573; 1,890,074; 1,942,161; 1,974,842; 2,032,380; 2,048,439; 2,055,089; 2,061,192; 2,131,926; 2,133,011;Lens patent No. 2,031,792|1|Silver-grey base/ Semi-crackle black lens cone & motor/ Plated parts/ Black box with blue lining.|Unknown. This camera has only USAAF numbers and markings. The K-series camera appears to have been the model of aerial camera favoured by the USAAF during the interwar period 1920-1942 Aerial photography has been used "for mapping, charting of the sea coasts, building of highways, town planning and any ground activity where a measure of size or change must be made. Aerial photography provided the first true measure of the size and physical makeup of the surface of Canada. It has played a vital role in major engineering developments such as the Trans-Canada Highway and the St. Lawrence Seaway. Aerial photography proved invaluable in the opening of the North and in the evaluation of Canada's forest resources."|Aerial photography.|When the US entered WW2, the K-3 (Graflex/Fairchild) was replaced by the improved K-17 model. The K-17 has a shorter focal length than later cameras and was used for lower altitude reconnaissance in faster fighter aircraft (e.g. P-38). It appears that most of the patents found on the camera were assigned to the Fairchild Aviation Corp.; however, both Graflex and Fairchild built these cameras.|Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment|Aviation|Miscellaneous||metal->steel;glass->;synthetic->;skin->leather;fibre|50.0 cm|44.0 cm|31.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.thumb.png
1966.0049.001|Camera|METAL CAMERA BODY/ METAL & WOOD FILM HOLDERS/ GLASS LENS ELEMENT/ CLOTH SHUTTER/ LEATHER?/ WOOD CASE|Aero A1|15416|Eastman Kodak Co.|United States of America|New york|Rochester|1919|1926|between|PAT'D MAY 27, 1919|4|PAINTED ARMY GREEN/ BLACK CLOTH & LEATHER?/ CASE LACQUERED||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->;wood->;glass->;fibre->;skin->leather - possible|48.0 cm|32.0 cm|29.6 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.thumb.png
1966.0049.002|Holder, film|||0354-LENS|||||||||4|||||||||||||||||||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.002.aa.cs.thumb.png
1966.0049.003|Holder, film||||||||||||4|||||||||||||||||||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.003.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.003.aa.cs.thumb.png
1966.0049.004|Sight, camera||||||||||||4||||||||||||||||||||||
1966.0050.001|Camera|CAST STEEL/ GLASS LENS ELEMENTS|F224|302|Fairchild Camera & Instrument Corp.|United States of America|New york|New york||||U.S. PATENT NOS. 1,723,926; 1,735,109; 1.775,731; 1,778,027; 1,779,424; 1,782,864; 1,804,680; 1,817,182; 1,821,492; 1,835,457; 1,848,871; 1,863,573; 1,890,074; 1,942,161; 1,974,842; 2,032,380; 2,048,439; 2,055,089; 2,061,192; 2,131,926; 2,133,011; 2,342,509; 2,342,510; 2,342,511; 2,342,512; 2,342,513; 2,372,974; 2,380,034; 2,399,476;LENS PATENT NO. 2,031,792|1|GREY WRINKLE FINISH PAINT/ PLATED PARTS||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;glass|43.0 cm|36.0 cm|37.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.thumb.png
1966.0051.001|Holder, roll film|CAST STEEL|A-5-A|46-3|Fairchild Camera & Instrument Corp.|United States of America|New york|New york||||U.S. PATENT NOS. BETWEEN 1,517,550 & 2,133,011 (SEE COMPLETE LIST IN SUPP. INFO. 660048)|1|BLACK WRINKLE FINISH/ PLATED PARTS||||Photography|Still camera parts|Backs|||||||metal->steel|38.0 cm|36.0 cm|19.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.thumb.png
1966.0052.001|Camera|CAST STEEL/ GLASS|60|3-28 DND|Fairchild Aerial Camera Corp.|United States of America|New york|New york|||||4|BLACK WRINKLE FINISH/ PLATES PARTS||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;glass|42.0 cm|41.0 cm|36.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.001.aa.cs.thumb.png
1966.0052.002|Holder, roll film|CAST STEEL||126721-LENS|Fairchild Aerial Camera Corp.|United States of America|New york|New york|||||4|BLACK WRINKLE FINISH/ PLATES PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel|33.7 cm|30.0 cm|15.8 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.002.aa.cs.thumb.png
1966.0052.003|Holder, roll film|CAST STEEL|||Fairchild Aerial Camera Corp.|United States of America|New york|New york|||||4|BLACK WRINKLE FINISH/ PLATES PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel|33.0 cm|29.5 cm|15.8 cm|||||
1966.0052.004|Holder, roll film|CAST STEEL|||Fairchild Aerial Camera Corp.|United States of America|New york|New york|||||4|BLACK WRINKLE FINISH/ PLATES PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel|33.0 cm|29.5 cm|15.8 cm|||||
1966.0053.001|Camera|CAST STEEL/ GLASS LENS ELEMENTS/ WOOD HANDLES/ LEATHER|F-56|F 272 1|Fairchild Aviation Corp.|United States of America|New york|New york||||US PATENT NOS. BETWEEN 1,517,550 & 2,133,011 (SEE COMPLETE LIST IN SUPP.INFO. 660048)|2|BLACK WRINKLE FINISH PAINT/ LACQUERED WOOD/ BROWN LEATHER/ PLATED METAL PARTS||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;glass->;wood->;skin->leather|42.5 cm|42.0 cm|31.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0053.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0053.001.aa.cs.thumb.png
1966.0053.002|Holder, roll film|||US3894R-LENS|||||||||2|BLACK WRINKLE FINISH PAINT/ LACQUERED WOOD/ BROWN LEATHER/ PLATED METAL PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment|||||31.2 cm|27.5 cm|16.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0053.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0053.002.aa.cs.thumb.png
1966.0054.001|Holder, roll film|CAST STEEL/ PLATE VELVET COVERED|||Fairchild Aviation Corp.|United States of America|New york|New york|||||1|BLACK WRINKLE FINISH PAINT/ PLATED PARTS/ BLACK VELVET||||Photography|Still camera parts|Backs|||||||metal->steel;fibre->velvet|24.0 cm|23.0 cm|14.2 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0054.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0054.001.aa.cs.thumb.png
1966.0055.001|Holder, roll film|CAST STEEL/ GLASS|A-5|42-60280|Fairchild Aviation Corp.|United States of America|New york|New york||||U.S. PATENT NOS. BETWEEN 1,517,550 & 2,133,011 (SEE COMPLETE LIST IN SUPP. INFO. 660048)|2|.1 GREY WRINKLE FINISH PAINT/.2 BLACK WRINKLE FINISH PAINT/ PLATED PARTS||||Photography|Still camera parts|Backs|||||||metal->steel;glass|36.5 cm|34.0 cm|18.8 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0055.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0055.001.aa.cs.thumb.png
1966.0055.002|Holder, roll film|||41-1624|||||||||2|||||||||||||||36.5 cm|38.0 cm|18.8 cm|||||
1966.0056.001|Camera|CAST STEEL/ GLASS LENS ELEMENTS/ SYNTHETIC/ WOOD CASE FOR.2|EAGLE/O.U.9 MK.II/6 IN.|684/ 64994 (LEN|Williamson Mfg. Co. Ltd.|England||London||||CAMERA BODY: ENGLISH PATENT NOS. 384380-370721|2|BLACK ENAMEL PAINT/ PLATED PARTS/ BLACK PAINTED BOX||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;glass;synthetic;wood|37.8 cm|36.6 cm|24.7 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0056.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0056.001.aa.cs.thumb.png
1966.0056.002|Holder, roll film|CAST STEEL/ GLASS LENS ELEMENTS/ SYNTHETIC/ WOOD CASE FOR .2||1167|Williamson Mfg. Co. Ltd.|England||London|||||2|||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;glass;synthetic;wood|32.5 cm|32.7 cm|15.3 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0056.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0056.002.aa.cs.thumb.png
1966.0057.001|Camera|CAST STEEL BODY/ BRASS PARTS/ WOODEN FILM HOLDER|||WILLIAMSON KINEMATOGRAPH CO.|England||London|||||1|GREY ENAMEL PAINT/ UNFINISHED BRASS/ LACQUERED BOX||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;metal->brass;wood|43.0 cm|24.5 cm|42.4 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0057.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0057.001.aa.cs.thumb.png
1966.0058.001|Camera|CAST STEEL BODY & HOUSING/ SYNTHETIC DOME/ GLASS LENS ELEMENTS|O.S.C.||Williamson Mfg. Co. Ltd.|England||London|||||6|BLACK WRINKLE-FINISH PAINT/ BLACK ENAMEL PAINT/ INTERIOR OF HOUSING BEIGE/ PLATED PARTS||AERIAL PHOTOGRAPHY||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;synthetic;glass||75.0 cm|66.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0058.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0058.001.aa.cs.thumb.png
1966.0058.002|Cone, lens|CAST STEEL BODY & HOUSING/ SYNTHETIC DOME/ GLASS LENS ELEMENTS||202353-LENS|Williamson Mfg. Co. Ltd.|England||London|||||6|BLACK WRINKLE-FINISH PAINT/ BLACK ENAMEL PAINT/ INTERIOR OF HOUSING BEIGE/ PLATED PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;synthetic;glass|||28.0 cm|||19.2 cm|http://source.techno-science.ca/artifacts-artefacts/images/1966.0058.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0058.002.aa.cs.thumb.png
1966.0058.003|Plate, cover|CAST STEEL BODY & HOUSING/ SYNTHETIC DOME/ GLASS LENS ELEMENTS|||Williamson Mfg. Co. Ltd.|England||London|||||6|BLACK WRINKLE-FINISH PAINT/ BLACK ENAMEL PAINT/ INTERIOR OF HOUSING BEIGE/ PLATED PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;synthetic;glass|43.0 cm|34.5 cm||2.0 cm||||
1966.0058.004|Plate, cover|CAST STEEL BODY & HOUSING/ SYNTHETIC DOME/ GLASS LENS ELEMENTS|||Williamson Mfg. Co. Ltd.|England||London|||||6|BLACK WRINKLE-FINISH PAINT/ BLACK ENAMEL PAINT/ INTERIOR OF HOUSING BEIGE/ PLATED PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;synthetic;glass|36.2 cm|25.8 cm||1.0 cm||||
1966.0058.005|Bracket, camera|CAST STEEL BODY & HOUSING/ SYNTHETIC DOME/ GLASS LENS ELEMENTS|||Williamson Mfg. Co. Ltd.|England||London|||||6|BLACK WRINKLE-FINISH PAINT/ BLACK ENAMEL PAINT/ INTERIOR OF HOUSING BEIGE/ PLATED PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;synthetic;glass|12.2 cm|9.0 cm|6.0 cm|||||
1966.0058.006|Bracket, camera|CAST STEEL BODY & HOUSING/ SYNTHETIC DOME/ GLASS LENS ELEMENTS|||Williamson Mfg. Co. Ltd.|England||London|||||6|BLACK WRINKLE-FINISH PAINT/ BLACK ENAMEL PAINT/ INTERIOR OF HOUSING BEIGE/ PLATED PARTS||||Photography|Still cameras|Specialized|Exploration and Survey|Photogrammetry|Photographic equipment||||metal->steel;synthetic;glass|12.2 cm|9.0 cm|6.0 cm|||||
1966.0059.001|Camera/DE|CAST STEEL HOUSING/ GLASS LENS ELEMENT|F-52|5064|Williamson Mfg. Co. Ltd.|England||London|||||1|BLACK WRINKLE-FINISH BODY/ GREY ENAMEL MAGAZINE/ PLATED PARTS||AERIAL PHOTOGRAPHY||Photography|Deaccessioned||||||||metal->steel;glass|104.5 cm|43.5 cm|36.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0059.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0059.001.aa.cs.thumb.png
1966.0060.001|Camera|METAL BODY & INTERIOR FITTINGS/ LEATHER COVERING/ RUBBERIZED CLOTH SHUTTER/ SYNTHETIC PARTS|LEICAFLEX SL|31.4377|Leitz, Ernst|Federal Republic of Germany||Wetzlar|1968|1974|between|BLUE BOOK VOL. IV, P.80|1|BLACK INTERIOR, LEATHER & SYNTHETIC/ BRUSHED ALUMINUM METAL/ PARTS||||Photography|Still cameras|Reflex|||||||metal->;skin->leather;synthetic|15.0 cm|5.9 cm|9.5 cm|||||
1966.0061.001|Tripod|HARDWOOD LEGS/ METAL HEAD & FITTINGS|C DELUXE TRI-LOK|7063|RIES|United States of America|California|Los angeles|||||1|BLACK WRINKLE-FINISH PAINT ON METAL/ WOOD STAINED OR OILED (PROBABLY AS A PRESERVATIVE)||||Photography|Still camera accessories|Supports|||||||wood;metal||12.0 cm|91.5 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0061.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0061.001.aa.cs.thumb.png
1966.0062.001|Wagon undercarriage|WOOD/ METAL TIRES & PARTS||137710|Adams Wagon Co. Ltd.|Canada|Ontario|Brantford|||||2|ORIGINAL FINISH REMOVED DURING RESTORATION - NOW PAINTED RED/ RACK - UNFINISHED WOOD/ REMNANTS OF GREEN PAINT ON TIRES|WAGON GEAR MADE BY CANADIAN MFR., DISTRIBUTED BY CANADIAN COMPANY.|HORSE DRAWN VEHICLE OF TYPE USED ON FARM TO TRANSPORT MATERIALS, PEOPLE ETC.|EXAMPLE OF FACTORY MADE STANDARD WEIGHT WAGON GEAR.|Non-motorized Ground Transportation|Animal powered|Wheeled vehicles|||||||wood;metal|316.0 cm|198.0 cm|300.0 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0062.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0062.001.aa.cs.thumb.png
1966.0062.002|Tongue||||||||||||2||||||||||||||||||||||
1966.0063.001|Plate, licence|METAL||107926|Unknown|Unknown|||||||2|OBSCURED BY CORROSION||||Motorized Ground Transportation|Accessories||||||||metal|30.6 cm|14.9 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.001.aa.cs.thumb.png
1966.0063.002|Plate, licence|METAL||BC370|Unknown|Unknown|||||||2|PAINTED WHITE WITH BLACK LETTERING||||Motorized Ground Transportation|Accessories||||||||metal|30.6 cm|14.0 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.002.aa.cs.thumb.png
1966.0064.001|Plate, licence|METAL||G5674|Unknown|Unknown|||||||3|PAINTED CREAM COLOUR WITH RED LETTERING||||Motorized Ground Transportation|Accessories||||||||metal|30.5 cm|15.0 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.001.aa.cs.thumb.png
1966.0064.002|Plate, licence|METAL||76613|Unknown|Unknown|||||||3|PAINTED CREAM COLOUR WITH GREEN LETTERING||||Motorized Ground Transportation|Accessories||||||||metal|30.5 cm|15.0 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.002.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.002.aa.cs.thumb.png
1966.0064.003|Plate, licence|METAL||76613|Unknown|Unknown|||||||3|PAINTED CREAM COLOUR WITH GREEN LETTERING||||Motorized Ground Transportation|Accessories||||||||metal|30.5 cm|15.0 cm|||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.003.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.003.aa.cs.thumb.png
1966.0065.001|Plate, equipment number|BRASS|CN 3271|1480|Canadian Locomotive Co. Ltd.|Canada|Ontario|Kingston|1917|1957|between||1|PAINTED RED GLOSS AROUND DESIGNATION|NO. PLATE FROM A LOCOMOTIVE BELONGING TO THE CANADIAN NATIONAL RAILWAY AND BUILT IN CANADA AT THE CANADIAN LOCOMOTIVE WORKS|USED, WHEN AFFIXED TO A LOCOMOTIVE, TO IDENTIFY THAT PARTICULAR LOCOMOTIVE FOR CN||Railway Transportation|Miscellaneous||||||||metal->brass|42.5 cm|28.2 cm|1.4 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0065.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0065.001.aa.cs.thumb.png
1966.0066.001|Plate, equipment number|BRASS|CN 1406|52601|Montreal Locomotive Works Ltd.|Canada|Québec|Montréal|1913|1961|between||1|RED GLOSS PAINT ON FRONT AROUND DESIGNATION|NO. PLATE FROM A CANADIAN NATIONAL LOCOMOTIVE BUILT IN CANADA AT THE MLW PLANT IN MONTREAL|USED, WHEN AFFIXED TO THE LOCOMOTIVE, TO IDENTIFY THAT PARTICULAR LOCOMOTIVE FOR CN.||Railway Transportation|Miscellaneous||||||||metal->brass|42.5 cm|27.9 cm|1.7 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0066.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0066.001.aa.cs.thumb.png
1966.0067.001|Plate, equipment number|BRASS|CN 4201|60066|American Locomotive Co.|United States of America|New york|Dunkirk|1919|1957|between||1|RED GLOSS PAINT BACKGROUND AROUND RAISED BRASS PRINTING|NO. PLATE FOR A CANADIAN NATIONAL LOCOMOTIVE|USED, WHEN AFFIXED TO A LOCOMOTIVE, TO IDENTIFY THAT PARTICULAR LOCOMOTIVE FOR CN.||Railway Transportation|Miscellaneous||||||||metal->brass|41.9 cm|27.5 cm|1.4 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0067.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0067.001.aa.cs.thumb.png
1966.0068.001|Cap, hub|Brass|COMET||Unknown|Unknown|||||||1||Hub caps are collector's items.|Cover put on automobile wheels to enhance its aesthetic appearance or aerodynamism and to protect the wheel bolts from mud and dust.|Originally, hub caps date back to the horse-drawn era and afterwards to the first automobiles when wheels were made of wooden spokes connected to the center hub. The hub contained the wheel bearing, which was packed with grease. The hub cap was a small device used to cover the center hub to keep the dust out and the grease in. Eventually, car manufacturers replaced the wooden spokes with steel wire spokes in the 1920s and 1930s. As a result the hub cap evolved into a wheel cover, which is a large disc that covers most of the wheel. Wheel covers continue to serve a functional purpose but they have also become a decorative design feature of the wheel .|Motorized Ground Transportation|Automotive parts|Hubcaps|||||||metal->brass||9.0 cm|3.6 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0068.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0068.001.aa.cs.thumb.png
1966.0069.001|Airplane|these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma, had split flaps and a non-retractable undercarriage like its predecessors|Northrop Delta|CV183|Canadian Vickers Ltd.|Canada|Québec|Montréal|1938||before||1||||In 1935, when the RCAF wanted a high performance photographic aircraft, it considered the Northrop Gamma but instead settled on Northrop's transport version of the same aircraft, the Northrop Delta. Canadian Vickers was commissioned to build an initial four aircraft under license and these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma, had split flaps and a non-retractable undercarriage like its predecessors. The larger fuselage accommodated up to eight passengers. For RCAF use, the design was modified to accept three Fairchild A-3 cameras at the rear of the cabin. The cabin floor was strengthened to accept freight loads and a large upward opening freight door was installed on the port side. Two Deltas were armed with a defensive machine gun fitted in an open hatch in the roof. Protection from the slipstream was provided by a plexiglas fairing. This particular installation was not very satisfactory causing buffeting and a marked decrease in performance.|Aviation|Aircraft||||||||metal->aluminum;metal->steel;resin->rubber|9.8 M|14.6 M||||||
1966.0070.001|Propeller|metal|FAIREY|FR8065|Fairey Aviation Co. Ltd.|England||Hayes|||||1|Painted black with yellow tips||Aircraft propulsion||Aviation|Aircraft parts||||||||metal|226.0 cm||||20.7 kg|25.0 cm|http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.thumb.png
1966.0071.001|Propeller|METAL|CURTISS ELECTRIC C634S-C554|174066|Unknown|Unknown|||||||1|||||Aviation|Aircraft parts||||||||metal|||||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0071.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0071.001.aa.cs.thumb.png
1966.0072.001|Propeller||HAMILTON STANDARD|15454|Hamilton Standard Propeller Div., United Aircraft Corp.|United States of America|Connecticut|East hartford|||||1|||||Aviation|Aircraft parts|||||||||||||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.thumb.png
1966.0073.001|Propeller|METAL|FAIREY|FR 747|Fairey Aviation Co. Ltd.|England||Hayes|||||1|HUB CRACKED||||Aviation|Aircraft parts||||||||metal|212.0 cm||||12.25 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.thumb.png
1966.0074.001|Propeller|WOOD/ FABRIC|GANO G99-180-100C|787|Gano Propeller Co.|United States of America|Texas|Fort worth|1920||circa||1|BLADES FABRIC COVERED||Aircraft propulsion||Aviation|Aircraft parts||||||||wood;fibre|245.0 cm|20.0 cm|15.0 cm||6.7 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.thumb.png
1966.0075.001|Propeller|||82941|||||||||1|||||Aviation|Aircraft parts||||||||||||||||
1966.0076.001|Propeller|WOOD|||Unknown|Unknown|||||||1|||||Aviation|Aircraft parts||||||||wood|102.0 cm||||9.5 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0076.001.aa.cons.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0076.001.aa.cons.thumb.png
1966.0077.001|Propeller|WOOD|||Unknown|Unknown|||||||1|FEW CHIPS & SCRATCHES||Aircraft propulsion||Aviation|Aircraft parts||||||||wood|208.0 cm|22.7 cm|8.7 cm||||http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.thumb.png
1966.0078.001|Propeller|WOOD|JACUZZI|1993|Jacuzzi Bros. Ltd.|United States of America|California|Berkeley|||||1|Clear varnish||Aircraft propulsion||Aviation|Aircraft parts||||||||wood|244.0 cm||||9.0 kg||http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.png|http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.thumb.png
USA,Portland,Python Basics
USA|Portland|Python Basics
